Date,7201-日産自動車(株),7202-いすゞ自動車(株),7203-トヨタ自動車(株),7205-日野自動車(株),7211-三菱自動車(株),7261-マツダ(株),7267-ホンダ,7269-スズキ(株),7270-(株)ＳＵＢＡＲＵ,7272-ヤマハ発動機(株),4502-武田薬品工業(株),4503-アステラス製薬(株),4506-大日本住友製薬(株),4507-塩野義製薬(株),4519-中外製薬(株),4523-エーザイ(株),4543-テルモ(株),4568-第一三共(株)
8/6/2019,22.2,-31,-166,-11,6,12.8,-5.5,11,206.5,-33,-5,5.5,0,-48,-50,20,-49,48
8/7/2019,-5.2,-32.5,71,-46,-3,-26.8,-24,-53,49,-26,-49,29.5,19,37,-20,30,2,18
8/8/2019,-6.9,13.5,19,-7,-3,-19.8,-1.5,54,-59,-12,-67,9,3,-13,10,10,41,115
8/9/2019,3.7,-11.5,27,5,-2,-0.1,7,14,11,-15,39,13.5,12,-30,-30,-31,178,-13
8/13/2019,-14.8,-39.5,-47,-16,-14,-43.8,-60,26,-99.5,-2,-83,-47,-19,20,-100,-110,0,215
8/14/2019,1.6,25.5,63,20,0,14.1,13.5,-10,78,22,19,5.5,-25,17,0,44,72,22
8/15/2019,-7.4,-23,-58,-3,3,-15.5,-35.5,-17,-19.5,-22,-26,-20.5,-32,-144,-70,-113,-75,15
8/16/2019,3.7,4.5,-5,4,-6,5.6,-1.5,-28,-12.5,4,-75,13,28,103,50,35,-28,29
8/19/2019,4.6,7,83,22,5,12,13.5,-24,9,36,3,13,7,69,40,26,-13,17
8/20/2019,5.9,8,36,8,5,-5.7,23,6,9,5,41,10,56,40,40,111,6,14
8/21/2019,-10.2,-11.5,0,-25,-4,-28.8,-14.5,7,0.5,-2,-58,3,-48,-48,30,-7,19,-189
8/22/2019,4.4,16.5,-3,-7,6,14.5,-4.5,66,27.5,5,25,-13,-8,-12,-20,-61,-31,34
8/23/2019,-4.6,10,10,5,2,8.2,12.5,27,43.5,8,-3,5,23,-28,-20,-34,5,-13
8/26/2019,-10.1,-20,-47,-13,-5,-19.8,-35.5,18,-58,-23,-100,-21.5,-69,-48,-100,-102,-142,-99
8/27/2019,-1.5,16.5,50,6,3,4.7,31,106,135,15,14,18.5,37,24,80,29,9,23
8/28/2019,1.1,3,-30,1,-1,10.1,6,-25,-5.5,-37,-12,-2.5,-28,-11,40,-17,-42,-92
8/29/2019,-3.2,6,1,14,1,-8.2,-20,63,-13.5,-16,50,13,-23,0,80,-2,-19,-37
8/30/2019,11.2,24.5,70,4,11,19.9,53.5,-50,-9,36,90,15.5,39,-13,40,127,12,149
9/2/2019,-8.7,-10.5,-8,-6,-7,-20.2,9,-13,4,-39,56,38,-74,-51,-60,-93,-61,-191
9/3/2019,8.6,6.5,53,14,12,10.2,30.5,0,69,8,40,10.5,-64,31,-40,-49,-27,-20
9/4/2019,-11.4,-20.5,-49,-11,-11,-9.6,14,-110,-50,-24,59,-2.5,36,10,180,-73,45,68
9/5/2019,12.8,31.5,44,33,15,29.9,77,121,41.5,52,11,-3.5,16,65,90,70,37,78
9/6/2019,16.3,6,30,1,7,23.8,80,100,24.5,55,-66,-4.5,30,2,10,3,35,95
9/9/2019,23.5,5.5,153,41,4,2.4,57,25,79,75,-61,33.5,26,31,-110,90,21,-336
9/10/2019,20.9,33.5,172,12,18,46.1,104.5,109,68,81,117,-8,25,125,-260,129,-36,-34
9/11/2019,-7.3,42,-16,9,15,32.7,34,21,15,34,-27,16.5,44,-106,-40,-41,46,247
9/12/2019,2.4,21.5,57,13,0,0,3.5,10,-22,18,67,-15,-34,78,130,54,10,14
9/13/2019,3.2,3.5,49,-1,3,1,-5,-47,16,-35,2,20,45,11,140,-132,32,53
9/17/2019,-2.8,-12,-25,-9,2,-1,-31,-14,-9,-12,-46,-28,1,-57,80,-76,90,40
